X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-4820.30418713961,-9011.3397334583,0,AcDbEntity:AcDbPoint,,,6211,
-9828.68297539267,-10068.4277799895,0,AcDbEntity:AcDbPoint,,,6212,
-11073.8379342787,-8140.11205364266,0,AcDbEntity:AcDbPoint,,,6213,
-9446.17697369988,-7090.12547599978,0,AcDbEntity:AcDbPoint,,,6214,
-13023.6405588129,-10927.406466568,0,AcDbEntity:AcDbPoint,,,6215,
-14142.7280437726,-10966.3494514301,0,AcDbEntity:AcDbPoint,,,6216,
-14239.5287249516,-9916.38969181219,0,AcDbEntity:AcDbPoint,,,6217,
-15350.8148310027,-9599.60819676381,0,AcDbEntity:AcDbPoint,,,6218,
-17756.9341390845,-8067.95466547541,0,AcDbEntity:AcDbPoint,,,6219,
-19231.8498790624,-8479.90341413289,0,AcDbEntity:AcDbPoint,,,621A,
-18696.7778580461,-7403.25650707353,0,AcDbEntity:AcDbPoint,,,621B,
-20168.2257908747,-7547.51303801002,0,AcDbEntity:AcDbPoint,,,621C,
-20865.2275353475,-6956.41275887817,0,AcDbEntity:AcDbPoint,,,621D,
-20562.4893458448,-8564.34625129006,0,AcDbEntity:AcDbPoint,,,621E,
-21560.3285466043,-8709.67480484009,0,AcDbEntity:AcDbPoint,,,621F,
-22077.7996030893,-9240.96125051542,0,AcDbEntity:AcDbPoint,,,6220,
-23566.8487503812,-8118.57452570825,0,AcDbEntity:AcDbPoint,,,6221,
-23862.5463541257,-10011.5027506625,0,AcDbEntity:AcDbPoint,,,6222,
-24367.3713489071,-7808.5680739003,0,AcDbEntity:AcDbPoint,,,6223,
-16243.4548840148,-7015.36576166795,0,AcDbEntity:AcDbPoint,,,6224,
-17028.6716439951,-6478.84700757518,0,AcDbEntity:AcDbPoint,,,6225,
-14706.6697155138,-5296.15897583638,0,AcDbEntity:AcDbPoint,,,6226,
-13392.1873558282,-5218.08779412709,0,AcDbEntity:AcDbPoint,,,6227,
-14960.201533576,-4685.21880562286,0,AcDbEntity:AcDbPoint,,,6228,
-12601.7927536345,-4584.71658084446,0,AcDbEntity:AcDbPoint,,,6229,
-11952.773213437,-4602.98971262234,0,AcDbEntity:AcDbPoint,,,622A,
-11031.194528455,-5798.7865905246,0,AcDbEntity:AcDbPoint,,,622B,
